moniker,name,avg(abs.avgbias),avg(abs.avgreliability),sum(abs.score_count)
.6yka.com,Danes je nov Dan #1,-4.800000000000002,46.26666666666667,15
.atvbl.com,Danes je nov Dan #1,4.833333333333334,41.766666666666666,12
.avaz.ba,Danes je nov Dan #1,7.33333333333332,38.1,14
.biscani.net,Danes je nov Dan #1,-2.233333333333332,48.36666666666666,13
.bljesak.info,Danes je nov Dan #1,3.3666666666666663,42.13333333333332,13
.dnevni.ba,Danes je nov Dan #1,3.366666666666666,38.4,12
.dnevnik.ba,Danes je nov Dan #1,3.6499999999999995,36.63333333333334,25
.face.ba,Danes je nov Dan #1,-0.7333333333333332,43.03333333333334,13
.faktor.ba,Danes je nov Dan #1,4.1,39.9,10
.glassrpske.com,Danes je nov Dan #1,-0.1333333333333327,40.199999999999974,15
.hayat.ba,Danes je nov Dan #1,2.766666666666668,42.766666666666666,13
.hercegovina.info,Danes je nov Dan #1,0.023809523809525352,48.32539682539681,20
.index.hr,Danes je nov Dan #1,-2.3253968253968256,45.666666666666664,19
.klix.ba,Danes je nov Dan #1,-0.1875000000000026,45.104166666666664,33
.n1info.com,Danes je nov Dan #1,-1.733333333333332,48.666666666666664,14
.nezavisne.com,Danes je nov Dan #1,6.8,40.53333333333334,15
.radiosarajevo.ba,Danes je nov Dan #1,-2.9934523809523768,45.20535714285714,33
.rtvbn.com,Danes je nov Dan #1,-3.46666666666666,44.00000000000002,15
.rtvusk.ba,Danes je nov Dan #1,2.8,46.266666666666666,13
.saff.ba,Danes je nov Dan #1,5.6,31.3,10
.slobodna-bosna.ba,Danes je nov Dan #1,-1.733333333333332,43.03333333333334,12
.srpskainfo.com,Danes je nov Dan #1,3.2000000000000015,41.56666666666668,13
.stav.ba,Danes je nov Dan #1,4.2,31.2,10
.vijesti.ba,Danes je nov Dan #1,-1.1313988095238086,42.234970238095244,39
.245.19,Danes je nov Dan #2,10.266666666666671,47.06666666666666,15
.aljazeera.net,Danes je nov Dan #2,-2.8,45.4,5
.atvbl.com,Danes je nov Dan #2,9,38.9,10
.bljesak.info,Danes je nov Dan #2,0,46.5,10
.cazin.net,Danes je nov Dan #2,2,40.8,5
.depo.ba,Danes je nov Dan #2,1,38.8,5
.dnevnik.ba,Danes je nov Dan #2,6,34.2,5
.fokus.ba,Danes je nov Dan #2,-4.999999999999999,46.666666666666664,15
.freshpress.info,Danes je nov Dan #2,1.2,44.8,5
.hercegovina.info,Danes je nov Dan #2,10.4,33.9,10
.hms.ba,Danes je nov Dan #2,8,36.8,5
.infosrpska.ba,Danes je nov Dan #2,2.8,39,5
.oslobodjenje.ba,Danes je nov Dan #2,-5.3,46.4,10
.raport.ba,Danes je nov Dan #2,-4,41.6,5
.rtvbn.com,Danes je nov Dan #2,-2.8,44.2,5
.slobodna-bosna.ba,Danes je nov Dan #2,5.266666666666673,35.26666666666668,15
.srpskainfo.com,Danes je nov Dan #2,-1.4,42.4,5
.tacno.net,Danes je nov Dan #2,-11.444444444444455,42.72222222222222,18
.tip.ba,Danes je nov Dan #2,-5.6,46.9,6
.vijesti.ba,Danes je nov Dan #2,-2.277777777777778,43.22222222222222,8
.zurnal.info,Danes je nov Dan #2,-1.8,45.4,5
.245.19,Danes je nov Dan #3,4.8,31,5
.6yka.com,Danes je nov Dan #3,-2.9,47.9,10
.avaz.ba,Danes je nov Dan #3,3.3999999999999924,39.333333333333336,15
.cazin.net,Danes je nov Dan #3,-0.2,35.9,10
.deblokada.com,Danes je nov Dan #3,20.8,16.2,5
.federalna.ba,Danes je nov Dan #3,-4.06666666666666,43.33333333333333,15
.hercegovina.info,Danes je nov Dan #3,4.2,31,5
.impulsportal.net,Danes je nov Dan #3,-6,31,5
.index.ba,Danes je nov Dan #3,0.6,33.8,5
.klix.ba,Danes je nov Dan #3,-0.4,45.4,5
.logicno.com,Danes je nov Dan #3,2.2,25.2,5
.n1info.com,Danes je nov Dan #3,-1,51.6,10
.nezavisne.com,Danes je nov Dan #3,0.8,37.8,5
.novi.ba,Danes je nov Dan #3,4.666666666666666,35.733333333333334,13
.oslobodjenje.ba,Danes je nov Dan #3,0,37.8,5
.poskok.info,Danes je nov Dan #3,15.333333333333325,26.46666666666666,15
.radiokameleon.ba,Danes je nov Dan #3,-1,40.4,5
.radiosarajevo.ba,Danes je nov Dan #3,-0.6,39.8,5
.rtrs.tv,Danes je nov Dan #3,6.25,41,4
.source.ba,Danes je nov Dan #3,-1.3,39.6,9
.tuzlanski.ba,Danes je nov Dan #3,-1.7,46,10
.vecernji.ba,Danes je nov Dan #3,11.8,33.6,9
.zenit.ba,Danes je nov Dan #3,0,46,5